relativePath,size,md5,sha256,gameType,language,isRequired,metadata
!HotkeysLeikezeIndicatorsZH.big,38460754,2961c9d40bf7fd3befbbb237f19ce204,f6ddeb9e09a6e8fec6d865257e0f8c73b9daefbafeb35a9dd09d40fae9a03733,ZeroHour,EN,False,"{""category"":""other""}"
!HotkeysLeikezeZH.big,937491,4b12fcd3c977bcbb28ac1bf58e3e1704,f5366e546160269ba57bb82be461050b286766159c41154b4b68d3e1e4fa8b01,ZeroHour,EN,False,"{""category"":""other""}"
00000000.016,153720,614156f3dc3ada5d21a5f0cb60ce5bf1,a85138edc09cd8c51b337674999b9cea16ef1a25259c7f4f7810edb3add55a0b,ZeroHour,EN,False,"{""category"":""other""}"
00000000.256,308276,5d8160359b90e0dd13d191e87fd84010,6b4db9327a858fd6a8ee77362b7fc0b6457279a57d942d5143fb7a0230e0b7e3,ZeroHour,EN,False,"{""category"":""other""}"
310_ExpandedLANLobbyMenu.big,104102,0b666d8441ecd4cc96b351013479f80e,86280f21f332e1d47ff06408435a99870a7980c88c270b2fe1aed7219f8fbcfb,ZeroHour,EN,False,"{""category"":""other""}"
340_ControlBarProArt1080ZH.big,9702796,ebcf82f0251fa8921d291605db8aeff4,555aa820f02b56bc2bf2509dbce2bdc3d5c8bb0a92c65b99926a750519b7035e,ZeroHour,EN,False,"{""category"":""other""}"
340_ControlBarProData1080ZH.big,1291228,19756a15bdd8f222075d69d847efc298,423896a825f210760a82336d3a515e3b78b461a5e3edee64a7286415763970a6,ZeroHour,EN,False,"{""category"":""other""}"
340_ControlBarProZH.big,376,85c58bc26fb303bc080c3c0769db9c1c,10837c0d269605d4e0129869d17d7c6221a729692695c851cbed15431751e8ac,ZeroHour,EN,False,"{""category"":""other""}"
990_DecalsZH.big,7519527,f08ff11bee730f1d4d322736bcbe6408,b9cdd0445b5724aed55421cc2dd7dac97380e83d12728eb6b168a420a9dfea4f,ZeroHour,EN,False,"{""category"":""other""}"
AudioEnglishZH.big,58326522,5e6d3b22c4dc45b421417feb21a89427,85109b5cb4a5ef75c5fdd1fe1a66957d951f98f028e10e3729dddc2309402914,ZeroHour,EN,False,"{""category"":""other""}"
AudioZH.big,23965542,03edcec3e410dd2e6bfb99f92087ad39,6fbd05e43491bfd5f56c9250c3f9c30fc3061cd5867cb912c46486fc78f5e8c7,ZeroHour,EN,False,"{""category"":""other""}"
BINKW32.DLL,358963,e58a20c9e7b342d5ca1f5ba75f1d1108,892a51c4056efcb22297a3b44a3491e3f5888f28b08ed1b17030f24acffedb44,ZeroHour,EN,False,"{""category"":""other""}"
d3d8.cfg,62,c0a334f632f616330cbb9aa34aeac23c,a54b6a2372db847a779acd4b450ec1ec86410953376dfe13f2fa43c1ea5ef79a,ZeroHour,EN,False,"{""category"":""other""}"
d3d8.dll,3843584,8a88058ccb6d2512df70b4c1c80e1317,be5276180d04b3de9abd20aeaf2c1f65a2b65c800233ce49d5e77f1ab42441f7,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCAttack_S.ani,1666,548a3180cc4fadcdf669ea455e6e1921,8e1a57bd031bc8565775f78a162eb0b2f81444d464466e57d43838a116b38ab2,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/sccattack.ani,6398,6d899deaefe2228081f28073a9485ade,fa13992a0603390b0c8fa4200cfca7ee9eb0744cb55b87f49aebee55e5711216,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCAttMov_S.ani,1670,3bd9ee4b858660bbf45fa393dc1c04c5,b9c38e1c1a9294b3afcd029162a79bbbfc285770b5e1ff82998a604755ad7e19,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCAttMov.ani,5644,f06b765c53fda761aebe4f8b4045cd08,c6b2ac92c9d8d8a15bd411dc3e3cf6e276b081cef20035ca82647f0168085714,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCCashHack.ani,7896,19efb6c96fb3b30adfcf6d8ad6fa7981,b41565b664457a00d87efbd24b5681155967620df5ae64a54d28aa9780279385,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCEnter_S.ani,2446,f48af1584768ade129a8a6c4f049b452,858479b74fafd998f1496b69edf2e44245a0c2f8bc8dc6c7ecb9b90d62c7370f,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCEnter.ani,2440,20f9bc7c814947b4cec1349c4bb8bfb7,037ab0691bebf9b4a985d194d0619e9fefa0330a07d4c85bb5047c26d10c5787,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCExit.ani,2436,acf7171dfbe1f72d64c9c08a6a190469,590d419191ec781d97fa7e375498eb99270eeccf8d9ee75bb5c3c67e9dcb620a,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCFriendly_S.ani,6358,5578eda24455b8416ac223d29b4ce475,488b83907f2b12c35d1e3d688a3564acd309d4f2afa1185cade157aee40fc238,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCFriendly.ani,6344,9f7a4f16f5cafbf36e865285ec360638,f7b424afb5575067fffe02cf1afdeb53f62f81ee85a12d581e2a76b5ab418652,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCGuard.ani,1616,1b24328b2926ca7bede732be68b4a4c1,fa8c51b348106c3ede587fc0a13deb63aa54a5db38ce8f582f03b761d57f6150,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCHeal.ani,2478,d12a7573375158375a33131339598d51,32997e09311a684687ab8a339d63d3f075eab98def7e8e0c47b4519b9763a695,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCHostile_S.ani,1674,aa715bed9e28d9dd5a13a56b8fec2e90,73f2fb4c8871afbaa49d6a5cbd34c53e4f29cead68f571d7aab5a5b406c893ea,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCHostile.ani,3270,bf03d453be48a42b218c084cbe19e578,78133602f6b1eceb6257895e9eaeadeb07ddbc9e969f6ac69b6bcbe16b5244ed,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCHostile2.ani,8634,f46b0d70e7c29ddb6b24a14dc053fb95,69a82c2f23d5608f039ce47cde2fe955ec1e4dc9971082ef2c24035f04d0738c,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCHostile3.ani,25792,92918392b8969da0d4562b5636df397c,b86c5be45dbf421172de0d12f4f1b237ce1844ad67ce614620490d60a5cbc5b5,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCKnifeAttack.ani,3966,eb68b3991a575c6ee2247c66b9ff01da,922ba292078be4b9f697450bcf68e23b6bcd9344f433b64641c856f15cc040a1,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCMove_S.ani,1664,3b33efc0b64e1b35f07afb8e098d5cf8,0a60c8f9b6da230767f10275ca97a57347d65a39468f953db122e0f93b07793c,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/sccmove.ani,5638,728cd67cd5a9c8c133f4a05d0a7424ea,edcc9a98a24e0e21bd89e45db2fcdf04c5d3ac359616db96ea6c33407df04c82,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCNoAction_S.ani,892,d9612607ce26ba18da3c98187ba8f60a,2cfa77a51eb15ab54359c13c27b926d7b0f948f2c91d4a1928d139d70ceacb02,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCNoAction.ani,886,cc4e179474a670631835d81725830882,116f51bd9073187b7b2fba0ce08bbe3417cd5daacec7b2af6b78a60afd07d6ff,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCNoBomb.ani,886,48237559686d7aaf721d2cb5109efa67,03e4cd887ab8283a8594b4ae54c0f73b159dce2ebf2df069923531de89be0d7a,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCNoEntry_S.ani,1682,121ffb04e7785ef03dba6de7930d5899,2b76be67e3d75d0cc428efb1563c08c0a6f717d95ffdeb1696c70ba446c92c09,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCNoEntry.ani,1676,bf2c1b618dff02c56bed38e7c69b19ba,ab8fed4bf8bf5bf6ff8e79a40bc89afe9c6bc7c13e2b1f5577506bb48d017803,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCNoKnife.ani,886,973eebf5e3893f3e1ce04ebab5f2b5eb,49d8a05655d9af4bf5c6ab3c7f15e2c86dc1037cc2c016c093d22eada35d75f0,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCOutrange.ani,16460,f18891ca6f6be7f2bc8feeeda196ac80,8539c4a441775dd7ccf5c1faf0cb79fdd5fb6c6797f7d7d3ca98768348429741,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCPlace.ani,1680,dc039f3410c790f3666ac7dc611ef801,a149ac8f358c82b6fd89e2e3fef32b6b1d11adcfd846c3560fd388d75c166e0b,ZeroHour,EN,False,"{""category"":""other""}"
Data/Cursors/SCCPlaceBeacon.ani,7078,82c144ddda013cf670954944a79b2196,d32b4336cbe21101cb872fe9e650f0cad9c77f86fdc26286484448c3fc00b8a6,ZeroHour,EN,False,"{""category"":""other""}"
